Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"California Gold Nutrition Omega-3 Premium Fish Oil, 100 Softgels",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/62118.jpg,Vitamins & Supplements,,"Affiliate link: we may earn a commission at no extra cost to you. Everyday omega-3 fish oil in fish gelatin softgels, 1,100 mg each. One of the most reviewed supplements out there, rated 4.8 from over 490,000 reviews. An easy add to a simple daily vitamin routine.",https://www.iherb.com/pr/california-gold-nutrition-omega-3-premium-fish-oil-100-fish-gelatin-softgels-1-100-mg-per-softgel/62118,,"omega 3 fish oil, fish oil supplement, daily vitamins, vitamins and supplements, wellness routine"
"Anua Heartleaf 77% Soothing Toner, 250 ml",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/154842.jpg,Korean Skincare Finds,,"Affiliate link: we may earn a commission at no extra cost to you. A light, watery Korean toner made with 77% heartleaf extract, for a calm, fresh-feeling first step after cleansing. Rated 4.7 from over 1,400 reviews. A gentle K-beauty staple for sensitive skin routines.",https://www.iherb.com/pr/anua-heartleaf-77-soothing-toner-8-45-fl-oz-250-ml/154842,,"korean skincare, k beauty toner, heartleaf toner, sensitive skin routine, skincare routine"
"Organic Matcha Green Tea Powder, 114 g",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/88411.jpg,Herbal Tea & Healthy Drinks,,"Affiliate link: we may earn a commission at no extra cost to you. Organic matcha green tea powder for iced matcha lattes, hot matcha and smoothies. Whisk with a splash of hot water, then top up with milk. Rated 4.6 from over 5,000 reviews. A cosy upgrade to the morning coffee run.",https://www.iherb.com/pr/california-gold-nutrition-superfoods-organic-matcha-green-tea-powder-4-oz-114-g/88411,,"matcha latte, matcha recipes, green tea, healthy drinks, morning routine"
"Optimum Nutrition Gold Standard 100% Whey, Double Rich Chocolate, 899 g",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/27497.jpg,Protein & Sports Nutrition,,"Affiliate link: we may earn a commission at no extra cost to you. The gym classic: a chocolate whey protein powder that mixes smoothly with milk or water, and works in overnight oats and protein pancakes too. Rated 4.7 from over 33,000 reviews.",https://www.iherb.com/pr/optimum-nutrition-gold-standard-100-whey-protein-double-rich-chocolate-1-98-lb-899-g/27497,,"whey protein, protein shake, gym supplements, post workout, protein recipes"
"ChildLife Essentials Liquid Vitamin C, Natural Orange, 118 ml",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/6356.jpg,Kids & Baby Wellness,,"Affiliate link: we may earn a commission at no extra cost to you. A liquid vitamin C with a natural orange flavour that kids actually like, easy to take by the spoon or mixed into juice. Rated 4.9 from over 54,000 reviews. A family favourite for the kids' morning routine.",https://www.iherb.com/pr/childlife-essentials-liquid-vitamin-c-natural-orange-4-fl-oz-118-ml/6356,,"kids vitamins, vitamin c for kids, family wellness, parenting tips, toddler routine"
"eos Shea Better 24H Moisture Body Lotion, Vanilla Cashmere, 473 ml",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/147189.jpg,Natural Skincare & Body Care,,"Affiliate link: we may earn a commission at no extra cost to you. A rich shea butter body lotion with a warm vanilla cashmere scent that lingers softly. Big 473 ml pump bottle, rated 4.7 from over 6,700 reviews. A little everyday luxury for your self care routine.",https://www.iherb.com/pr/eos-shea-better-24h-moisture-body-lotion-vanilla-cashmere-16-fl-oz-473-ml/147189,,"body lotion, vanilla scent, self care routine, body care, smell good products"
"Mild By Nature Thickening Shampoo, Biotin & Rosemary Mint, 473 ml",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/85219.jpg,Natural Hair Care,,"Affiliate link: we may earn a commission at no extra cost to you. A biotin and B-complex shampoo with a fresh rosemary mint scent, made to leave hair looking fuller and feeling clean. Big 473 ml bottle, rated 4.6 from over 21,000 reviews.",https://www.iherb.com/pr/mild-by-nature-thickening-shampoo-b-complex-biotin-rosemary-mint-16-fl-oz-473-ml/85219,,"rosemary mint shampoo, biotin shampoo, hair care routine, natural hair care, volume hair"
"Mamma Chia Organic Chia Seed, 340 g",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/58092.jpg,Healthy Snacks & Pantry,,"Affiliate link: we may earn a commission at no extra cost to you. Organic black chia seeds for overnight chia pudding, smoothie bowls, porridge toppings and homemade jam. Rated 4.8 from over 39,000 reviews. A pantry staple for easy healthy breakfasts.",https://www.iherb.com/pr/mamma-chia-organic-chia-seed-12-oz-340-g/58092,,"chia pudding, chia seeds, healthy breakfast, overnight oats, healthy pantry"
"California Gold Nutrition Vitamin D3 + K2 (MK-7), 180 Veggie Capsules",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/124745.jpg,Vitamins & Supplements,,"Affiliate link: we may earn a commission at no extra cost to you. Vitamin D3 paired with K2 as MK-7 in one veggie capsule, a popular pick for autumn and winter when the days get shorter. 180 capsules, rated 4.8 from over 38,000 reviews.",https://www.iherb.com/pr/california-gold-nutrition-vitamin-d3-k2-as-mk-7-180-veggie-capsules/124745,,"vitamin d3 k2, vitamin d, winter wellness, vitamins and supplements, daily vitamins"
"SKIN1004 Madagascar Centella Ampoule, 55 ml",https://raw.githubusercontent.com/VitaliiSulim/wellness-shelf-pins/main/content/pins/104715.jpg,Korean Skincare Finds,,"Affiliate link: we may earn a commission at no extra cost to you. A lightweight Korean ampoule made with centella asiatica extract from Madagascar. Absorbs fast and layers easily under moisturiser. Rated 4.7 from over 12,000 reviews. A K-beauty favourite for sensitive skin.",https://www.iherb.com/pr/skin1004-madagascar-centella-ampoule-1-85-fl-oz-55-ml/104715,,"korean skincare, centella, k beauty serum, sensitive skin routine, skincare routine"
